CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Tenure Group,Actual Churn,Churn Probability,Predicted Churn,Churn Probability %,Risk Level,Recommended Action
7029-RPUAV,Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,5508,13-24 Months,1,0.8827931488372082,1,88.28,High Risk,Contract upgrade + Security offer
4700-UBQMV,Male,No,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),75.9,1549.75,3503,13-24 Months,0,0.15542161208173372,0,15.54,Low Risk,Monitor
3594-UVONA,Female,No,No,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.95,3110.1,3833,25-48 Months,1,0.2433638736163954,0,24.34,Low Risk,Monitor
7750-EYXWZ,Female,No,No,No,12,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,60.65,743.3,3740,0-12 Months,0,0.5262936090655922,0,52.63,Medium Risk,Monitor
7054-ENNGU,Female,No,Yes,No,9,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.85,466.6,4623,0-12 Months,0,0.5865326515284558,0,58.65,Medium Risk,Monitor
0402-OAMEN,Female,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1709.1,5335,49+ Months,0,0.0028655476415217042,0,0.29,Low Risk,Monitor
2195-VVRJF,Male,Yes,Yes,No,18,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),59.1,1011.05,2422,13-24 Months,0,0.5805490779477728,0,58.05,Medium Risk,Monitor
8819-ZBYNA,Female,No,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.1,6393.65,4935,49+ Months,0,0.22836552033241433,0,22.84,Low Risk,Monitor
7748-UMTRK,Female,Yes,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,2974.5,2440,25-48 Months,0,0.446284810313502,0,44.63,Medium Risk,Monitor
1741-WTPON,Male,No,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,115.85,6567.9,4937,49+ Months,0,0.044991591360932295,0,4.5,Low Risk,Monitor
7209-JCUDS,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,2832,0-12 Months,1,0.885164012544038,1,88.52,High Risk,Contract upgrade + Security offer
2485-ITVKB,Female,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,2643,0-12 Months,1,0.8978883824546295,1,89.79,High Risk,Contract upgrade + Security offer
9648-BCHKM,Female,No,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.65,471.35,5231,13-24 Months,0,0.04003464368903658,0,4.0,Low Risk,Monitor
0743-HRVFF,Female,No,Yes,Yes,51,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,56.15,2898.95,4132,49+ Months,0,0.0974579155268244,0,9.75,Low Risk,Monitor
2522-AHJXR,Male,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,4350,49+ Months,0,0.5568726880115701,0,55.69,Medium Risk,Monitor
9143-CANJF,Female,No,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.15,1319.85,2200,13-24 Months,0,0.1087450208880522,0,10.87,Low Risk,Monitor
1444-VVSGW,Male,No,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65,7968.85,5563,49+ Months,1,0.22870023451266386,0,22.87,Low Risk,Monitor
6898-MDLZW,Male,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.75,648.65,5385,0-12 Months,0,0.5022279782900693,0,50.22,Medium Risk,Monitor
0074-HDKDG,Male,No,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,3807,25-48 Months,0,0.241414907254016,0,24.14,Low Risk,Monitor
3982-JGSFD,Male,No,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,695.85,3526,25-48 Months,0,0.09034711496621081,0,9.03,Low Risk,Monitor
7928-VJYAB,Male,No,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,1020.2,2004,0-12 Months,0,0.5870235146538719,0,58.7,Medium Risk,Monitor
1522-VVDMG,Male,No,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,3807,0-12 Months,1,0.8498109540407123,1,84.98,High Risk,Contract upgrade + Security offer
2665-NPTGL,Female,Yes,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,3114,25-48 Months,0,0.8523786039424511,1,85.24,High Risk,Contract upgrade + Security offer
8728-SKJLR,Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,3277,25-48 Months,0,0.566253922428708,0,56.63,Medium Risk,Monitor
7733-UDMTP,Female,Yes,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,4622,49+ Months,0,0.4827303430140802,0,48.27,Medium Risk,Monitor
0431-APWVY,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),90.1,2598.95,5958,25-48 Months,1,0.6660342877697922,1,66.6,High Risk,Promote Online Security
5081-NWSUP,Female,No,No,No,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.9,685.55,4883,0-12 Months,0,0.3056828245989427,0,30.57,Low Risk,Monitor
2746-DIJLO,Female,No,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.3,2364.0,2994,25-48 Months,0,0.20049355908481095,0,20.05,Low Risk,Monitor
7277-OZCGZ,Female,No,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,5479,13-24 Months,0,0.6879580476041418,1,68.8,High Risk,Contract upgrade + Payment review
5236-PERKL,Female,No,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.95,6465.0,4738,49+ Months,1,0.23066981859315958,0,23.07,Low Risk,Monitor
2788-CJQAQ,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,270.2,3799,13-24 Months,0,0.1781988533028818,0,17.82,Low Risk,Monitor
3096-WPXBT,Female,No,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.7,6018.65,4804,49+ Months,0,0.08252387784966364,0,8.25,Low Risk,Monitor
9962-BFPDU,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,5811,0-12 Months,0,0.17379645176455877,0,17.38,Low Risk,Monitor
2892-GESUL,Female,No,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,309.25,2269,13-24 Months,0,0.02211226500498216,0,2.21,Low Risk,Monitor
9741-YLNTD,Male,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,2684,0-12 Months,0,0.8201829516047405,1,82.02,High Risk,Contract upgrade + Security offer
1205-WNWPJ,Female,No,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.5,415.95,4661,0-12 Months,1,0.6223558703423455,1,62.24,High Risk,Contract upgrade + Security offer
3173-NVMPX,Female,No,Yes,Yes,9,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,55.3,501.2,4291,0-12 Months,0,0.33182101724839613,0,33.18,Low Risk,Monitor
9661-MHUMO,Male,Yes,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.25,49.25,4478,0-12 Months,1,0.3024680038940113,0,30.25,Low Risk,Monitor
6000-APYLU,Male,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,713.1,3890,0-12 Months,1,0.867522372558292,1,86.75,High Risk,Contract upgrade + Security offer
0048-PIHNL,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,6061,49+ Months,0,0.0516889601645,0,5.17,Low Risk,Monitor
9420-LOJKX,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,2966,13-24 Months,1,0.34628557145288574,0,34.63,Low Risk,Monitor
7061-OVMIM,Female,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,5203,25-48 Months,0,0.11471138476354804,0,11.47,Low Risk,Monitor
5671-RQRLP,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,4181,49+ Months,0,0.17068097779869965,0,17.07,Low Risk,Monitor
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,5822,25-48 Months,0,0.7246921419398501,1,72.47,High Risk,Contract upgrade + Payment review
5170-PTRKA,Female,No,Yes,No,49,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,1782.0,4865,49+ Months,0,0.13158911781417545,0,13.16,Low Risk,Monitor
4819-HJPIW,Male,No,No,No,18,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.15,476.8,2675,13-24 Months,0,0.5796755166395701,0,57.97,Medium Risk,Monitor
8780-RSYYU,Female,No,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.2,532.1,2159,25-48 Months,0,0.2590403458932788,0,25.9,Low Risk,Monitor
2335-GSODA,Male,No,No,Yes,23,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,40.1,857.75,2327,13-24 Months,0,0.024356440703279997,0,2.44,Low Risk,Monitor
5696-CEIQJ,Male,No,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.15,6895.5,4376,49+ Months,0,0.032979353451907584,0,3.3,Low Risk,Monitor
6169-PPETC,Male,No,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,759.35,2009,25-48 Months,0,0.010392178972196976,0,1.04,Low Risk,Monitor
4237-RLAQD,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,5930,0-12 Months,1,0.7078004530987447,1,70.78,High Risk,Contract upgrade + Security offer
7359-WWYJV,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),114.45,8375.05,6274,49+ Months,0,0.14092115006711642,0,14.09,Low Risk,Monitor
8620-RJPZN,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.7,20.7,3061,0-12 Months,0,0.5222492164629114,0,52.22,Medium Risk,Monitor
7426-WEIJX,Male,Yes,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.95,4859.1,6214,49+ Months,0,0.2037847279522857,0,20.38,Low Risk,Monitor
7629-WIXZF,Female,No,No,No,7,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,59.1,369.25,4770,0-12 Months,0,0.5133456117299895,0,51.33,Medium Risk,Monitor
2616-FLVQC,Male,No,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,1240.15,6036,49+ Months,0,0.012247237944936781,0,1.22,Low Risk,Monitor
9163-GHAYE,Female,No,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.85,736.8,5584,13-24 Months,0,0.5625184273194341,0,56.25,Medium Risk,Monitor
4464-JCOLN,Male,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,2362,0-12 Months,1,0.3104536693259588,0,31.05,Low Risk,Monitor
2971-SGAFL,Female,No,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.75,995.35,5631,13-24 Months,0,0.7504783676116702,1,75.05,High Risk,Contract upgrade + Tech Support
4735-ASGMA,Male,No,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.35,2515.3,4997,25-48 Months,1,0.8698801350352071,1,86.99,High Risk,Contract upgrade + Security offer
5245-VDBUR,Female,No,Yes,No,52,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.45,1958.95,5509,49+ Months,0,0.1233022044169362,0,12.33,Low Risk,Monitor
1493-AMTIE,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2,5394,0-12 Months,1,0.5234837890963228,0,52.35,Medium Risk,Monitor
1112-CUNAO,Female,Yes,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.85,1424.95,2668,13-24 Months,1,0.8213788125699842,1,82.14,High Risk,Contract upgrade + Security offer
7571-YXDAD,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),74.9,147.15,2078,0-12 Months,1,0.7947611714000145,1,79.48,High Risk,Contract upgrade + Security offer
8714-EUHJO,Female,No,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.15,2995.45,5219,25-48 Months,1,0.8427883489815713,1,84.28,High Risk,Contract upgrade + Security offer
9040-KZVWO,Male,No,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),75.5,2018.1,5184,25-48 Months,0,0.37544246917678586,0,37.54,Low Risk,Monitor
6713-OKOMC,Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,2013,0-12 Months,0,0.5626452554104363,0,56.26,Medium Risk,Monitor
8749-CLJXC,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,2067,0-12 Months,0,0.4372602675517593,0,43.73,Medium Risk,Monitor
4713-LZDRV,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,4322,0-12 Months,1,0.8947957213875042,1,89.48,High Risk,Contract upgrade + Security offer
6598-RFFVI,Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,28.3,2279,0-12 Months,1,0.24706808858588078,0,24.71,Low Risk,Monitor
7470-MCQTK,Female,No,Yes,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4,2655,13-24 Months,1,0.8223658029169993,1,82.24,High Risk,Contract upgrade + Security offer
5524-KHNJP,Male,No,Yes,No,33,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.75,2453.3,5344,25-48 Months,0,0.26085312834393165,0,26.09,Low Risk,Monitor
1707-HABPF,Female,Yes,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),91.3,4126.35,3191,25-48 Months,0,0.35026953768004576,0,35.03,Low Risk,Monitor
4581-LNWUM,Female,No,No,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,649.4,3000,13-24 Months,0,0.7912475598767237,1,79.12,High Risk,Contract upgrade + Security offer
9710-ZUSHQ,Female,Yes,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.75,4056.75,5849,25-48 Months,1,0.6879068010868079,1,68.79,High Risk,Contract upgrade + Tech Support
1697-LYYYX,Female,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.1,1143.8,4376,49+ Months,0,0.006097307794159824,0,0.61,Low Risk,Monitor
4013-GUXND,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,20.8,3678,0-12 Months,0,0.44161484093891973,0,44.16,Medium Risk,Monitor
5022-JNQEQ,Female,No,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,4843,0-12 Months,0,0.48079986511797285,0,48.08,Medium Risk,Monitor
4983-CCWMC,Male,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,5487,0-12 Months,0,0.8216127137374906,1,82.16,High Risk,Contract upgrade + Security offer
6345-FZOQH,Male,No,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,5570,49+ Months,0,0.012803874718558591,0,1.28,Low Risk,Monitor
0962-CQPWQ,Female,No,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1296.15,4574,49+ Months,0,0.003223312881881605,0,0.32,Low Risk,Monitor
5495-GPSRW,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,419.4,2120,13-24 Months,0,0.10201362778451091,0,10.2,Low Risk,Monitor
2252-JHJGE,Male,No,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,104.0,6363.45,4344,49+ Months,0,0.37850071802718005,0,37.85,Low Risk,Monitor
7356-AYNJP,Female,No,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.9,97.5,5685,0-12 Months,0,0.37889287745298866,0,37.89,Low Risk,Monitor
2019-HDCZY,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,102.6,6296.75,4004,49+ Months,0,0.34784746808573314,0,34.78,Low Risk,Monitor
8582-KRHPJ,Male,No,No,No,50,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,35.0,1782.4,5629,49+ Months,0,0.24663518126110562,0,24.66,Low Risk,Monitor
2867-UIMSS,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,2734,0-12 Months,1,0.8578510669185773,1,85.79,High Risk,Contract upgrade + Security offer
3487-EARAT,Female,No,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,5222.3,6325,49+ Months,0,0.04983628419752704,0,4.98,Low Risk,Monitor
9926-PJHDQ,Female,No,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,5120,49+ Months,0,0.11852104619283166,0,11.85,Low Risk,Monitor
0289-IVARM,Female,No,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,60.55,1982.6,3463,25-48 Months,0,0.2723577980591896,0,27.24,Low Risk,Monitor
4672-FOTSD,Male,No,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.25,832.3,4334,0-12 Months,0,0.546381273906304,0,54.64,Medium Risk,Monitor
6198-PNNSZ,Female,No,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),109.8,6109.65,5648,49+ Months,0,0.35868259908397293,0,35.87,Low Risk,Monitor
7603-USHJS,Male,No,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,871.4,2010,0-12 Months,1,0.439278075468402,0,43.93,Medium Risk,Monitor
6784-XYJAE,Female,No,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,4770,25-48 Months,0,0.26470728012059197,0,26.47,Low Risk,Monitor
3858-XHYJO,Female,No,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.55,4078,25-48 Months,0,0.47203043437246295,0,47.2,Medium Risk,Monitor
1087-UDSIH,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,59.75,5000,0-12 Months,1,0.5038085699673674,0,50.38,Medium Risk,Monitor
7251-LJBQN,Female,Yes,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,3568,25-48 Months,0,0.5002693240573546,0,50.03,Medium Risk,Monitor
3200-MNQTF,Male,No,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4677.1,4361,49+ Months,0,0.02770570452818633,0,2.77,Low Risk,Monitor
9359-UGBTK,Female,No,No,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,4991.5,4910,49+ Months,0,0.060523462693912476,0,6.05,Low Risk,Monitor
8160-HOWOX,Female,No,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,4858,0-12 Months,0,0.8038789426121316,1,80.39,High Risk,Contract upgrade + Security offer
0258-NOKBL,Male,No,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,5625,0-12 Months,0,0.8307060909498905,1,83.07,High Risk,Contract upgrade + Security offer
2800-QQUSO,Male,No,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.3,4222.95,3286,25-48 Months,0,0.7562484391276911,1,75.62,High Risk,Contract upgrade + Security offer
2129-ALKBS,Female,No,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.2,1077.5,2211,25-48 Months,0,0.08337105661941427,0,8.34,Low Risk,Monitor
9972-VAFJJ,Female,Yes,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,94.0,4871.45,6355,49+ Months,0,0.4069576889058348,0,40.7,Medium Risk,Monitor
4693-VWVBO,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.55,61.05,3889,0-12 Months,0,0.5091588161923529,0,50.92,Medium Risk,Monitor
6969-MVBAI,Female,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,2893,0-12 Months,0,0.8873367116476417,1,88.73,High Risk,Contract upgrade + Security offer
4821-WQOYN,Female,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.1,1326.25,4603,49+ Months,0,0.0027167894795491225,0,0.27,Low Risk,Monitor
6769-DYBQN,Male,Yes,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.0,3969.4,2097,25-48 Months,1,0.519111644750314,0,51.91,Medium Risk,Monitor
4018-PPNDW,Female,No,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.1,1551.6,5970,49+ Months,0,0.03400015844299181,0,3.4,Low Risk,Monitor
6288-CHQJB,Female,No,Yes,No,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,5077,49+ Months,0,0.049177673093666455,0,4.92,Low Risk,Monitor
4905-JEFDW,Male,No,No,No,11,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,41.6,470.6,3119,0-12 Months,1,0.6635186204538372,1,66.35,High Risk,Promote Online Security
0559-CKHUS,Female,No,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.55,521.8,5758,25-48 Months,0,0.09375353667734912,0,9.38,Low Risk,Monitor
2659-VXMWZ,Male,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.3,7482.1,4146,49+ Months,1,0.4656147663854537,0,46.56,Medium Risk,Monitor
6559-RAKOZ,Male,No,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,97.95,4917.9,4301,49+ Months,0,0.24285035628193397,0,24.29,Low Risk,Monitor
8809-XKHMD,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),100.55,7325.1,6082,49+ Months,0,0.1331565255506533,0,13.32,Low Risk,Monitor
6365-HITVU,Female,No,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,4135,49+ Months,0,0.007419841004328067,0,0.74,Low Risk,Monitor
0134-XWXCE,Female,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,3253,25-48 Months,0,0.15825972721458295,0,15.83,Low Risk,Monitor
